ï»¿Period;Grupp;Serie;VÃ¤rde
2022-02-15;Valutor mot svenska kronor;1 THB;0.2882
2022-02-16;Valutor mot svenska kronor;1 THB;0.2864
2022-02-17;Valutor mot svenska kronor;1 THB;0.289
2022-02-18;Valutor mot svenska kronor;1 THB;0.2894
2022-02-21;Valutor mot svenska kronor;1 THB;0.2907
2022-02-22;Valutor mot svenska kronor;1 THB;0.2898
2022-02-23;Valutor mot svenska kronor;1 THB;0.2886
2022-02-24;Valutor mot svenska kronor;1 THB;0.2929
2022-02-25;Valutor mot svenska kronor;1 THB;0.2928
2022-02-28;Valutor mot svenska kronor;1 THB;0.2918
2022-03-01;Valutor mot svenska kronor;1 THB;0.2911
2022-03-02;Valutor mot svenska kronor;1 THB;0.297
2022-03-03;Valutor mot svenska kronor;1 THB;0.2976
2022-03-04;Valutor mot svenska kronor;1 THB;0.30
2022-03-07;Valutor mot svenska kronor;1 THB;0.3028
2022-03-08;Valutor mot svenska kronor;1 THB;0.2994
2022-03-09;Valutor mot svenska kronor;1 THB;0.2979
2022-03-10;Valutor mot svenska kronor;1 THB;0.2941
2022-03-11;Valutor mot svenska kronor;1 THB;0.2922
2022-03-14;Valutor mot svenska kronor;1 THB;0.288
2022-03-15;Valutor mot svenska kronor;1 THB;0.2862
